"Ad_ID","Campaign_Name","Clicks","Impressions","Cost","Leads","Conversions","Conversion_Rate","Sale_Amount","Ad_Date","Location","Device","Keyword","Format_Date"
"A1034","Data Analytics Course",121.0,5610.0,214.96,23.0,8.0,"0.066",0.0,"2024-11-25","Hyderabad","Mobile","data analytics course","2024-11-25"
"A1035","Data Analytics Course",104.0,5275.0,236.48,16.0,9.0,"0.031",1824.0,"01-11-2024","Hyderabad","DESKTOP","data anaytics training","2024-11-01"
"A1036","Data Analytics Course",146.0,5939.0,242.9,11.0,8.0,"0.035",1833.0,"2024-11-07","Hyderabad","Desktop","data anaytics training","2024-11-07"
"A1037","Data Analytics Course",123.0,5131.0,0.0,19.0,5.0,"0.041",1307.0,"09-11-2024","Hyderabad","MOBILE","learn data analytics","2024-11-09"
"A1038","Data Analytics Course",90.0,5786.0,197.55,11.0,6.0,"0.043",1704.0,"16-11-2024","Hyderabad","MOBILE","online data analytic","2024-11-16"
"A1039","Data Analytics Course",171.0,4304.0,192.61,17.0,10.0,"0.058",1427.0,"2024-11-26","Hyderabad","Mobile","learn data analytics","2024-11-26"
"A1040","Data Analytics Course",94.0,5549.0,231.23,25.0,9.0,"0.096",1849.0,"2024/11/12","Hyderabad","mobile","data anaytics training","2024-11-12"
"A1041","Data Analytics Course",112.0,4271.0,196.07,27.0,6.0,"0.054",1209.0,"2024-11-14","Hyderabad","desktop","data analitics online","2024-11-14"
"A1042","Data Analytics Course",113.0,4418.0,191.55,27.0,10.0,"0.088",1634.0,"2024/11/09","Hyderabad","MOBILE","data analytics course","2024-11-09"
"A1043","Data Analytics Course",145.0,3721.0,180.95,21.0,7.0,"0.048",1960.0,"29-11-2024","Hyderabad","desktop","data analitics online","2024-11-29"
"A1044","Data Analytics Course",197.0,5783.0,204.46,23.0,6.0,"0.03",1729.0,"01-11-2024","Hyderabad","TABLET","data anaytics training","2024-11-01"
"A1045","Data Analytics Course",109.0,4866.0,236.78,27.0,5.0,"0.046",1585.0,"15-11-2024","Hyderabad","Mobile","online data analytic","2024-11-15"
"A1046","Data Analytics Course",188.0,5857.0,222.98,20.0,4.0,"0.048",1303.0,"11-11-2024","Hyderabad","desktop","data anaytics training","2024-11-11"
"A1047","Data Analytics Course",142.0,5103.0,234.1,24.0,3.0,"0.021",1835.0,"2024-11-08","Hyderabad","mobile","analytics for data","2024-11-08"
"A1048","Data Analytics Course",168.0,4653.0,240.84,27.0,9.0,"0.054",1367.0,"2024-11-24","Hyderabad","Mobile","online data analytic","2024-11-24"
"A1049","Data Analytics Course",110.0,3524.0,248.86,19.0,10.0,"0.091",1524.0,"21-11-2024","Hyderabad","MOBILE","learn data analytics","2024-11-21"
"A1050","Data Analytics Course",192.0,5938.0,182.84,26.0,5.0,"0.039",1080.0,"2024/11/12","Hyderabad","MOBILE","analytics for data","2024-11-12"
"A1051","Data Analytics Course",101.0,3942.0,206.62,16.0,5.0,"0.05",1746.0,"2024-11-24","Hyderabad","Tablet","analytics for data","2024-11-24"
"A1052","Data Analytics Course",157.0,3315.0,189.56,15.0,10.0,"0.064",1026.0,"2024-11-25","Hyderabad","MOBILE","online data analytic","2024-11-25"
"A1053","Data Analytics Course",113.0,4945.0,187.66,15.0,10.0,"0.088",1564.0,"2024/11/26","Hyderabad","TABLET","learn data analytics","2024-11-26"
"A1054","Data Analytics Course",96.0,3166.0,196.15,29.0,7.0,"0.073",1902.0,"26-11-2024","Hyderabad","Desktop","learn data analytics","2024-11-26"
"A1055","Data Analytics Course",125.0,4223.0,183.68,15.0,6.0,"0.048",1267.0,"2024-11-05","Hyderabad","DESKTOP","data analitics online","2024-11-05"
"A1056","Data Analytics Course",104.0,4798.0,210.1,18.0,3.0,"0.029",1340.0,"21-11-2024","Hyderabad","desktop","analytics for data","2024-11-21"
"A1057","Data Analytics Course",194.0,5655.0,208.58,13.0,6.0,"0.031",1692.0,"2024-11-16","Hyderabad","mobile","data anaytics training","2024-11-16"
"A1058","Data Analytics Course",144.0,5140.0,219.48,19.0,8.0,"0.047",1054.0,"18-11-2024","Hyderabad","desktop","data analitics online","2024-11-18"
"A1059","Data Analytics Course",179.0,3025.0,238.81,17.0,3.0,"0.017",0.0,"2024-11-11","Hyderabad","mobile","data analitics online","2024-11-11"
"A1060","Data Analytics Course",166.0,5223.0,189.76,18.0,7.0,"0.042",1219.0,"16-11-2024","Hyderabad","Tablet","data analytics course","2024-11-16"
"A1061","Data Analytics Course",166.0,5089.0,0.0,26.0,7.0,"0.042",1946.0,"11-11-2024","Hyderabad","tablet","analytics for data","2024-11-11"
"A1062","Data Analytics Course",118.0,5016.0,204.31,19.0,9.0,"0.045",1833.0,"2024/11/08","Hyderabad","Desktop","analytics for data","2024-11-08"
"A1063","Data Analytics Course",185.0,3617.0,222.32,24.0,7.0,"0.038",1963.0,"23-11-2024","Hyderabad","Mobile","data analytics course","2024-11-23"
"A1064","Data Analytics Course",116.0,3764.0,232.03,28.0,10.0,"0.086",1348.0,"2024/11/20","Hyderabad","Tablet","data analytics course","2024-11-20"
"A1065","Data Analytics Course",99.0,4489.0,183.73,15.0,6.0,"0.061",1264.0,"2024-11-05","Hyderabad","desktop","online data analytic","2024-11-05"
"A1066","Data Analytics Course",172.0,4441.0,221.18,14.0,8.0,"0.047",1771.0,"27-11-2024","Hyderabad","mobile","analytics for data","2024-11-27"
"A1067","Data Analytics Course",138.0,5751.0,199.11,26.0,9.0,"0.052",1337.0,"2024-11-10","Hyderabad","desktop","data analitics online","2024-11-10"
"A1068","Data Analytics Course",84.0,4036.0,234.22,23.0,10.0,"0.119",1287.0,"04-11-2024","Hyderabad","Desktop","learn data analytics","2024-11-04"
"A1069","Data Analytics Course",124.0,4942.0,240.59,18.0,3.0,"0.024",1922.0,"2024-11-16","Hyderabad","DESKTOP","learn data analytics","2024-11-16"
"A1070","Data Analytics Course",122.0,4989.0,215.48,12.0,5.0,"0.041",1975.0,"2024/11/06","Hyderabad","MOBILE","data analitics online","2024-11-06"
"A1071","Data Analytics Course",180.0,3006.0,228.14,22.0,7.0,"0.039",1556.0,"2024-11-04","Hyderabad","TABLET","learn data analytics","2024-11-04"
"A1072","Data Analytics Course",133.0,3728.0,199.13,11.0,10.0,"0.075",0.0,"2024-11-09","Hyderabad","Desktop","data analitics online","2024-11-09"
"A1073","Data Analytics Course",164.0,3734.0,225.39,27.0,8.0,"0.04",1728.0,"12-11-2024","Hyderabad","tablet","learn data analytics","2024-11-12"
"A1074","Data Analytics Course",150.0,4621.0,246.3,15.0,6.0,"0.049",1554.0,"2024-11-09","Hyderabad","Desktop","data analitics online","2024-11-09"
"A1075","Data Analytics Course",97.0,3212.0,212.55,27.0,10.0,"0.103",1994.0,"23-11-2024","Hyderabad","DESKTOP","analytics for data","2024-11-23"
"A1076","Data Analytics Course",128.0,4225.0,228.24,30.0,4.0,"0.031",1618.0,"2024/11/08","Hyderabad","mobile","learn data analytics","2024-11-08"
"A1077","Data Analytics Course",99.0,4779.0,233.78,26.0,10.0,"0.101",1086.0,"2024-11-05","Hyderabad","DESKTOP","online data analytic","2024-11-05"
"A1078","Data Analytics Course",86.0,5352.0,234.05,11.0,5.0,"0.058",1364.0,"2024-11-09","Hyderabad","TABLET","online data analytic","2024-11-09"
"A1079","Data Analytics Course",118.0,5405.0,187.28,25.0,7.0,"0.058",1836.0,"2024-11-05","Hyderabad","TABLET","analytics for data","2024-11-05"
"A1080","Data Analytics Course",127.0,5430.0,199.13,14.0,6.0,"0.047",1932.0,"2024/11/25","Hyderabad","Mobile","analytics for data","2024-11-25"
"A1081","Data Analytics Course",83.0,4808.0,241.35,20.0,7.0,"0.084",1038.0,"30-11-2024","Hyderabad","mobile","learn data analytics","2024-11-30"
"A1082","Data Analytics Course",149.0,3587.0,217.53,23.0,8.0,"0.054",0.0,"17-11-2024","Hyderabad","Mobile","data analitics online","2024-11-17"
"A1083","Data Analytics Course",168.0,4683.0,215.28,30.0,8.0,"0.048",1327.0,"2024/11/28","Hyderabad","Mobile","data analitics online","2024-11-28"
"A1084","Data Analytics Course",112.0,5814.0,227.38,11.0,8.0,"0.071",1467.0,"2024-11-03","Hyderabad","Tablet","analytics for data","2024-11-03"
"A1085","Data Analytics Course",123.0,3292.0,233.2,28.0,6.0,"0.049",1174.0,"2024-11-19","Hyderabad","Desktop","data anaytics training","2024-11-19"
"A1086","Data Analytics Course",174.0,4305.0,206.02,20.0,3.0,"0.034",1057.0,"2024/11/23","Hyderabad","desktop","learn data analytics","2024-11-23"
"A1087","Data Analytics Course",143.0,4368.0,0.0,27.0,7.0,"0.049",1199.0,"03-11-2024","Hyderabad","tablet","analytics for data","2024-11-03"
"A1088","Data Analytics Course",195.0,5935.0,209.68,23.0,9.0,"0.046",1966.0,"2024-11-07","Hyderabad","tablet","online data analytic","2024-11-07"
"A1089","Data Analytics Course",176.0,5847.0,241.04,13.0,6.0,"0.034",1194.0,"2024-11-02","Hyderabad","DESKTOP","online data analytic","2024-11-02"
"A1090","Data Analytics Course",141.0,4851.0,227.39,28.0,5.0,"0.035",1821.0,"2024/11/15","Hyderabad","desktop","analytics for data","2024-11-15"
"A1091","Data Analytics Course",108.0,4710.0,204.16,19.0,10.0,"0.093",1731.0,"2024/11/20","Hyderabad","tablet","data analitics online","2024-11-20"
"A1092","Data Analytics Course",112.0,3345.0,0.0,11.0,6.0,"0.047",1859.0,"2024-11-23","Hyderabad","TABLET","analytics for data","2024-11-23"
"A1094","Data Analytics Course",145.0,5004.0,216.45,22.0,5.0,"0.034",1496.0,"2024-11-01","Hyderabad","tablet","data analitics online","2024-11-01"
"A1095","Data Analytics Course",183.0,3947.0,197.3,15.0,8.0,"0.044",1645.0,"2024-11-14","Hyderabad","Desktop","data anaytics training","2024-11-14"
"A1096","Data Analytics Course",113.0,3690.0,229.42,20.0,5.0,"0.044",1915.0,"2024-11-28","Hyderabad","tablet","learn data analytics","2024-11-28"
"A1097","Data Analytics Course",101.0,5943.0,187.32,27.0,6.0,"0.059",1614.0,"2024-11-15","Hyderabad","TABLET","data analitics online","2024-11-15"
"A1098","Data Analytics Course",189.0,5357.0,222.5,24.0,3.0,"0.05",1839.0,"2024-11-25","Hyderabad","tablet","data analytics course","2024-11-25"
"A1099","Data Analytics Course",154.0,3596.0,236.14,30.0,9.0,"0.058",1036.0,"2024/11/06","Hyderabad","tablet","online data analytic","2024-11-06"
"A1100","Data Analytics Course",179.0,5162.0,246.76,16.0,5.0,"0.05",1052.0,"2024-11-29","Hyderabad","DESKTOP","online data analytic","2024-11-29"
"A1101","Data Analytics Course",148.0,3747.0,244.41,18.0,8.0,"0.054",1092.0,"2024/11/17","Hyderabad","Tablet","learn data analytics","2024-11-17"
"A1102","Data Analytics Course",177.0,4822.0,197.03,26.0,9.0,"0.051",1909.0,"2024-11-04","Hyderabad","Mobile","online data analytic","2024-11-04"
"A1103","Data Analytics Course",119.0,5800.0,221.36,11.0,8.0,"0.067",0.0,"29-11-2024","Hyderabad","Desktop","analytics for data","2024-11-29"
"A1104","Data Analytics Course",89.0,3594.0,0.0,14.0,6.0,"0.067",1026.0,"2024/11/15","Hyderabad","tablet","data analytics course","2024-11-15"
"A1105","Data Analytics Course",146.0,4765.0,230.22,23.0,5.0,"0.034",1944.0,"2024/11/28","Hyderabad","Tablet","analytics for data","2024-11-28"
"A1106","Data Analytics Course",109.0,4128.0,183.65,12.0,5.0,"0.046",0.0,"2024-11-30","Hyderabad","Desktop","data analitics online","2024-11-30"
"A1107","Data Analytics Course",159.0,5127.0,197.16,21.0,4.0,"0.025",1867.0,"2024-11-03","Hyderabad","tablet","learn data analytics","2024-11-03"
"A1108","Data Analytics Course",144.0,5674.0,235.36,12.0,3.0,"0.021",1505.0,"2024-11-22","Hyderabad","desktop","analytics for data","2024-11-22"
"A1109","Data Analytics Course",122.0,3793.0,237.22,19.0,8.0,"0.066",1842.0,"2024-11-20","Hyderabad","tablet","online data analytic","2024-11-20"
"A1110","Data Analytics Course",112.0,4315.0,235.33,28.0,9.0,"0.08",1116.0,"2024/11/08","Hyderabad","MOBILE","data analytics course","2024-11-08"
"A1111","Data Analytics Course",174.0,4704.0,192.32,21.0,10.0,"0.049",1501.0,"2024/11/24","Hyderabad","MOBILE","learn data analytics","2024-11-24"
"A1112","Data Analytics Course",168.0,3349.0,235.6,23.0,9.0,"0.054",1894.0,"2024-11-09","Hyderabad","Mobile","online data analytic","2024-11-09"
"A1113","Data Analytics Course",173.0,3501.0,223.9,28.0,10.0,"0.044",1179.0,"2024/11/25","Hyderabad","Mobile","data analytics course","2024-11-25"
"A1115","Data Analytics Course",140.0,5405.0,195.69,21.0,8.0,"0.057",1094.0,"21-11-2024","Hyderabad","Desktop","data anaytics training","2024-11-21"
"A1116","Data Analytics Course",93.0,3425.0,229.76,26.0,4.0,"0.043",1344.0,"24-11-2024","Hyderabad","Mobile","online data analytic","2024-11-24"
"A1117","Data Analytics Course",114.0,5263.0,189.13,23.0,5.0,"0.044",1434.0,"05-11-2024","Hyderabad","Mobile","data analytics course","2024-11-05"
"A1118","Data Analytics Course",172.0,3889.0,0.0,21.0,10.0,"0.058",1766.0,"2024-11-16","Hyderabad","TABLET","online data analytic","2024-11-16"
"A1119","Data Analytics Course",188.0,3327.0,193.76,24.0,6.0,"0.047",1220.0,"03-11-2024","Hyderabad","Tablet","online data analytic","2024-11-03"
"A1121","Data Analytics Course",113.0,5471.0,215.57,27.0,9.0,"0.038",1123.0,"2024-11-23","Hyderabad","Mobile","analytics for data","2024-11-23"
"A1122","Data Analytics Course",109.0,3550.0,240.33,14.0,8.0,"0.073",1982.0,"2024-11-24","Hyderabad","Tablet","learn data analytics","2024-11-24"
"A1123","Data Analytics Course",174.0,3178.0,225.67,18.0,10.0,"0.057",1140.0,"20-11-2024","Hyderabad","Desktop","data analitics online","2024-11-20"
"A1124","Data Analytics Course",96.0,4673.0,192.88,24.0,5.0,"0.052",1962.0,"2024-11-10","Hyderabad","MOBILE","learn data analytics","2024-11-10"
"A1125","Data Analytics Course",110.0,4254.0,187.87,11.0,4.0,"0.036",1172.0,"2024-11-04","Hyderabad","MOBILE","data anaytics training","2024-11-04"
"A1126","Data Analytics Course",163.0,3658.0,237.63,23.0,7.0,"0.043",1699.0,"2024-11-23","Hyderabad","TABLET","online data analytic","2024-11-23"
"A1127","Data Analytics Course",161.0,5319.0,235.98,13.0,4.0,"0.025",1423.0,"2024-11-18","Hyderabad","Mobile","learn data analytics","2024-11-18"
"A1128","Data Analytics Course",195.0,5278.0,193.49,30.0,7.0,"0.047",1456.0,"2024/11/04","Hyderabad","Mobile","data analytics course","2024-11-04"
"A1129","Data Analytics Course",84.0,3755.0,218.88,14.0,9.0,"0.047",1299.0,"2024/11/05","Hyderabad","TABLET","analytics for data","2024-11-05"
"A1130","Data Analytics Course",113.0,4580.0,194.82,11.0,6.0,"0.059",1248.0,"2024/11/28","Hyderabad","tablet","data analytics course","2024-11-28"
"A1131","Data Analytics Course",117.0,3809.0,225.14,12.0,5.0,"0.032",1495.0,"2024-11-09","Hyderabad","DESKTOP","data anaytics training","2024-11-09"
"A1132","Data Analytics Course",135.0,5118.0,219.99,27.0,6.0,"0.044",1089.0,"2024-11-20","Hyderabad","MOBILE","online data analytic","2024-11-20"
"A1133","Data Analytics Course",92.0,5766.0,186.14,28.0,7.0,"0.076",1013.0,"27-11-2024","Hyderabad","TABLET","data anaytics training","2024-11-27"
"A1134","Data Analytics Course",188.0,3934.0,206.21,16.0,9.0,"0.048",0.0,"04-11-2024","Hyderabad","Desktop","data analytics course","2024-11-04"
"A1135","Data Analytics Course",101.0,4724.0,228.38,13.0,7.0,"0.034",1243.0,"2024-11-20","Hyderabad","Desktop","learn data analytics","2024-11-20"
"A1136","Data Analytics Course",111.0,5895.0,205.25,29.0,4.0,"0.036",1693.0,"2024-11-04","Hyderabad","Mobile","data analytics course","2024-11-04"
"A1137","Data Analytics Course",122.0,4048.0,202.23,28.0,10.0,"0.082",0.0,"26-11-2024","Hyderabad","mobile","online data analytic","2024-11-26"
"A1138","Data Analytics Course",99.0,3169.0,237.68,21.0,6.0,"0.061",1509.0,"2024-11-22","Hyderabad","Mobile","online data analytic","2024-11-22"
"A1139","Data Analytics Course",154.0,4535.0,229.29,11.0,3.0,"0.019",1434.0,"2024/11/01","Hyderabad","TABLET","data anaytics training","2024-11-01"
"A1140","Data Analytics Course",129.0,3849.0,249.29,22.0,10.0,"0.078",1767.0,"2024/11/11","Hyderabad","desktop","analytics for data","2024-11-11"
"A1142","Data Analytics Course",143.0,3628.0,0.0,18.0,9.0,"0.063",1566.0,"17-11-2024","Hyderabad","tablet","data analytics course","2024-11-17"
"A1143","Data Analytics Course",80.0,3269.0,0.0,12.0,4.0,"0.05",1753.0,"23-11-2024","Hyderabad","Desktop","data analitics online","2024-11-23"
"A1144","Data Analytics Course",134.0,3724.0,188.02,26.0,9.0,"0.047",1891.0,"2024/11/07","Hyderabad","DESKTOP","online data analytic","2024-11-07"
"A1145","Data Analytics Course",174.0,4838.0,242.35,21.0,3.0,"0.017",1599.0,"2024-11-22","Hyderabad","desktop","data analitics online","2024-11-22"
"A1146","Data Analytics Course",196.0,4524.0,192.01,15.0,8.0,"0.041",1048.0,"2024-11-13","Hyderabad","desktop","data analytics course","2024-11-13"
"A1147","Data Analytics Course",194.0,4694.0,228.15,17.0,7.0,"0.036",1874.0,"2024-11-14","Hyderabad","Tablet","learn data analytics","2024-11-14"
"A1149","Data Analytics Course",100.0,4235.0,222.61,10.0,8.0,"0.051",1814.0,"01-11-2024","Hyderabad","Desktop","data anaytics training","2024-11-01"
"A1150","Data Analytics Course",153.0,4367.0,184.51,29.0,9.0,"0.059",1507.0,"2024-11-13","Hyderabad","MOBILE","analytics for data","2024-11-13"
"A1151","Data Analytics Course",110.0,3748.0,198.68,24.0,9.0,"0.082",1041.0,"05-11-2024","Hyderabad","TABLET","data anaytics training","2024-11-05"
"A1152","Data Analytics Course",116.0,3901.0,0.0,21.0,4.0,"0.034",1483.0,"2024-11-13","Hyderabad","Tablet","online data analytic","2024-11-13"
"A1153","Data Analytics Course",156.0,3335.0,236.98,29.0,7.0,"0.045",1143.0,"2024-11-14","Hyderabad","desktop","data analytics course","2024-11-14"
"A1154","Data Analytics Course",177.0,5671.0,210.74,19.0,6.0,"0.058",1172.0,"25-11-2024","Hyderabad","Tablet","data analytics course","2024-11-25"
"A1155","Data Analytics Course",89.0,3408.0,214.78,25.0,9.0,"0.101",1898.0,"2024/11/15","Hyderabad","Mobile","data analytics course","2024-11-15"
"A1156","Data Analytics Course",155.0,4422.0,183.96,14.0,8.0,"0.037",1143.0,"2024/11/15","Hyderabad","MOBILE","analytics for data","2024-11-15"
"A1157","Data Analytics Course",123.0,3097.0,190.55,20.0,8.0,"0.065",1640.0,"2024/11/22","Hyderabad","tablet","data analytics course","2024-11-22"
"A1158","Data Analytics Course",102.0,3621.0,244.82,10.0,5.0,"0.049",1375.0,"2024/11/12","Hyderabad","MOBILE","learn data analytics","2024-11-12"
"A1159","Data Analytics Course",150.0,4806.0,244.53,15.0,9.0,"0.06",1602.0,"07-11-2024","Hyderabad","Mobile","data analitics online","2024-11-07"
"A1161","Data Analytics Course",143.0,3901.0,191.38,29.0,4.0,"0.053",1786.0,"2024-11-24","Hyderabad","MOBILE","learn data analytics","2024-11-24"
"A1162","Data Analytics Course",178.0,4673.0,222.46,29.0,6.0,"0.051",1219.0,"2024/11/04","Hyderabad","tablet","online data analytic","2024-11-04"
"A1163","Data Analytics Course",152.0,3542.0,208.96,13.0,9.0,"0.059",1735.0,"2024/11/13","Hyderabad","desktop","data analytics course","2024-11-13"
"A1164","Data Analytics Course",139.0,4347.0,238.19,26.0,5.0,"0.036",1384.0,"13-11-2024","Hyderabad","tablet","analytics for data","2024-11-13"
"A1165","Data Analytics Course",175.0,5014.0,247.24,25.0,7.0,"0.04",1499.0,"15-11-2024","Hyderabad","MOBILE","learn data analytics","2024-11-15"
"A1166","Data Analytics Course",92.0,4185.0,218.46,21.0,9.0,"0.035",1567.0,"2024/11/03","Hyderabad","mobile","data analitics online","2024-11-03"
"A1167","Data Analytics Course",123.0,5964.0,0.0,17.0,6.0,"0.049",1363.0,"2024/11/03","Hyderabad","desktop","data anaytics training","2024-11-03"
"A1168","Data Analytics Course",86.0,5124.0,183.71,13.0,10.0,"0.116",1137.0,"20-11-2024","Hyderabad","MOBILE","data anaytics training","2024-11-20"
"A1169","Data Analytics Course",117.0,4162.0,238.08,28.0,10.0,"0.085",1186.0,"2024/11/22","Hyderabad","MOBILE","online data analytic","2024-11-22"
"A1170","Data Analytics Course",146.0,4330.0,191.9,20.0,3.0,"0.021",1748.0,"2024/11/09","Hyderabad","MOBILE","online data analytic","2024-11-09"
"A1171","Data Analytics Course",89.0,3268.0,0.0,17.0,4.0,"0.045",1233.0,"2024/11/13","Hyderabad","DESKTOP","online data analytic","2024-11-13"
"A1172","Data Analytics Course",195.0,3483.0,213.99,27.0,7.0,"0.036",1796.0,"23-11-2024","Hyderabad","Desktop","learn data analytics","2024-11-23"
"A1173","Data Analytics Course",170.0,4519.0,240.63,22.0,7.0,"0.041",1012.0,"27-11-2024","Hyderabad","MOBILE","analytics for data","2024-11-27"
"A1174","Data Analytics Course",97.0,3605.0,240.29,21.0,7.0,"0.045",1682.0,"2024-11-10","Hyderabad","Desktop","data analitics online","2024-11-10"
"A1175","Data Analytics Course",159.0,5076.0,204.97,15.0,10.0,"0.063",1638.0,"17-11-2024","Hyderabad","tablet","data analytics course","2024-11-17"
"A1176","Data Analytics Course",131.0,5352.0,225.86,24.0,10.0,"0.076",1961.0,"2024-11-20","Hyderabad","mobile","online data analytic","2024-11-20"
"A1177","Data Analytics Course",108.0,5503.0,185.26,11.0,7.0,"0.065",1921.0,"06-11-2024","Hyderabad","Mobile","data analitics online","2024-11-06"
"A1178","Data Analytics Course",93.0,4308.0,209.83,19.0,9.0,"0.097",1694.0,"2024-11-20","Hyderabad","mobile","data analytics course","2024-11-20"
"A1179","Data Analytics Course",137.0,3555.0,213.5,29.0,3.0,"0.022",0.0,"2024/11/06","Hyderabad","DESKTOP","data analytics course","2024-11-06"
"A1180","Data Analytics Course",81.0,5615.0,193.14,30.0,6.0,"0.074",1255.0,"2024/11/28","Hyderabad","MOBILE","analytics for data","2024-11-28"
"A1181","Data Analytics Course",160.0,4743.0,206.22,23.0,10.0,"0.062",1825.0,"2024/11/20","Hyderabad","mobile","learn data analytics","2024-11-20"
